location_year,region,year,date,is_case,elevation_m,uncertainty_known,v14,v15,v15-estate-quota,v15-regimi-misti,v15-caldo-se-umido,v15-caldo-sempre,v15-ottimo15,calendario-mese,calendario-giorno,v15_water,v15_thermal,v15_phenology
L0015-2016,"Sardegna",2016,2016-06-02,0,736,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0667,0.1543,0.048,0.474,0.378
L0015-2016,"Sardegna",2016,2016-06-23,0,736,1,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.0667,0.0456,0.005,0.796,0.654
L0015-2016,"Sardegna",2016,2016-07-03,0,736,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0667,0.0570,0.002,0.690,0.761
L0239-2018,"ignota",2018,2018-05-20,1,484,1,6.2,6.2,6.2,4.7,6.2,6.2,6.2,0.0714,0.0694,0.434,0.535,0.269
L0239-2018,"ignota",2018,2018-05-23,1,484,1,12.2,12.2,12.2,9.1,12.2,12.2,12.2,0.0714,0.0818,0.683,0.589,0.302
L0239-2018,"ignota",2018,2018-09-02,0,484,1,22.6,22.9,22.9,14.3,23.7,23.7,22.9,0.2857,0.1427,0.634,0.768,0.466
L0239-2018,"ignota",2018,2018-10-06,0,484,1,1.5,1.5,1.5,3.6,1.5,1.5,1.5,0.2857,0.2115,0.132,0.940,0.124
L0239-2018,"ignota",2018,2018-11-08,0,484,1,3.7,3.5,3.5,21.7,3.5,3.5,3.5,0.1429,0.1752,1.095,0.494,0.056
L0342-2025,"Emilia-Romagna",2025,2025-09-21,1,489,0,9.7,11.6,11.6,13.8,11.6,11.6,11.6,0.2000,0.1967,0.563,0.836,0.229
L0342-2025,"Emilia-Romagna",2025,2025-08-11,0,489,0,6.7,34.9,34.9,24.1,36.4,36.4,34.9,0.0667,0.0603,0.654,0.647,0.816
L0342-2025,"Emilia-Romagna",2025,2025-10-23,0,489,0,1.3,1.3,1.3,15.1,1.3,1.3,1.3,0.2667,0.2210,0.618,0.286,0.072
L0342-2025,"Emilia-Romagna",2025,2025-11-04,0,489,0,1.3,1.3,1.3,20.2,1.3,1.3,1.3,0.1333,0.1978,1.106,0.181,0.058
L0268-2024,"Lazio",2024,2024-10-21,1,387,1,6.8,6.8,6.8,26.8,6.8,6.8,6.8,0.2308,0.1751,1.145,0.791,0.074
L0268-2024,"Lazio",2024,2024-06-08,0,387,1,3.7,3.7,3.7,2.7,3.7,3.7,3.7,0.0769,0.1289,0.082,0.824,0.544
L0268-2024,"Lazio",2024,2024-06-11,0,387,1,3.3,3.3,3.3,2.4,3.3,3.3,3.3,0.0769,0.1076,0.070,0.786,0.593
L0268-2024,"Lazio",2024,2024-09-05,0,387,1,0.9,0.9,0.9,0.5,0.9,1.2,0.9,0.2308,0.1640,0.098,0.470,0.407
L0226-2023,"Lazio",2023,2023-11-09,1,256,1,4.8,5.4,5.4,15.6,5.4,5.4,5.4,0.0769,0.0716,0.899,0.894,0.055
L0226-2023,"Lazio",2023,2023-06-03,0,256,1,30.5,30.5,30.5,22.4,30.5,30.5,30.5,0.0769,0.1268,0.865,0.783,0.451
L0226-2023,"Lazio",2023,2023-07-07,0,256,1,8.4,8.4,8.4,6.0,8.4,9.1,8.4,0.0769,0.0737,0.146,0.603,0.946
L0226-2023,"Lazio",2023,2023-09-08,0,256,1,1.1,9.8,9.8,5.1,11.5,11.5,9.8,0.3077,0.2400,0.730,0.544,0.379
L0029-2019,"Trentino-Alto Adige",2019,2019-11-01,1,1010,0,20.4,20.4,14.7,14.7,20.4,20.4,13.7,0.0714,0.1559,0.505,0.685,0.588
L0029-2019,"Trentino-Alto Adige",2019,2019-06-14,0,1010,0,5.8,5.8,15.7,15.7,5.9,5.9,6.0,0.0714,0.0893,1.145,0.969,0.051
L0029-2019,"Trentino-Alto Adige",2019,2019-07-23,0,1010,0,0.8,0.8,3.0,3.0,0.8,1.0,1.0,0.0714,0.0388,0.092,0.772,0.117
L0029-2019,"Trentino-Alto Adige",2019,2019-09-01,0,1010,0,11.5,11.5,9.2,9.2,11.5,12.9,13.1,0.2857,0.1312,0.222,0.802,0.645
L0292-2024,"Toscana",2024,2024-07-10,1,951,1,1.6,4.1,24.5,24.5,5.0,5.0,4.9,0.0000,0.0010,0.715,0.604,0.075
L0292-2024,"Toscana",2024,2024-08-15,0,951,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0769,0.0812,0.007,0.218,0.358
L0292-2024,"Toscana",2024,2024-08-19,0,951,1,0.9,0.9,1.0,1.0,0.9,1.6,1.2,0.0769,0.0826,0.117,0.254,0.423
L0292-2024,"Toscana",2024,2024-11-08,0,951,1,41.6,41.4,30.3,30.3,41.4,41.4,33.1,0.1538,0.1622,1.051,0.854,0.441
